step,episode_start,arm0_mean,arm0_n,arm0_good,arm0_prob,arm1_mean,arm1_n,arm1_good,arm1_prob,arm2_mean,arm2_n,arm2_good,arm2_prob
0,1,0.41576612939150936,1,True,0.0,0.0,0,True,0.0,0.0,0,True,0.0
1,1,0.41576612939150936,1,True,0.0,0.4403926802965563,1,True,0.0,0.0,0,True,0.0
2,1,0.41576612939150936,1,True,0.0,0.4403926802965563,1,True,0.0,0.46005196138784366,1,True,0.0
3,1,0.4210921324760535,2,False,0.0,0.4403926802965563,1,True,0.0,0.46005196138784366,1,True,0.0
4,1,0.4210921324760535,2,False,0.0034732888748884192,0.4469093024233732,2,True,0.0,0.46005196138784366,1,True,0.0
5,1,0.4210921324760535,2,False,0.0034732888748884192,0.4469093024233732,2,True,0.0,0.4571895496161634,2,True,0.0
6,1,0.4210921324760535,2,False,0.0034732888748884192,0.4447570405763506,3,True,0.0,0.4571895496161634,2,True,0.0
7,1,0.4210921324760535,2,False,0.0034732888748884192,0.4447570405763506,3,True,0.0,0.4554697599387077,3,True,0.0
8,1,0.4210921324760535,2,False,0.0034732888748884192,0.44566701127019387,4,True,0.0,0.4554697599387077,3,True,0.0
9,1,0.4210921324760535,2,False,0.0034732888748884192,0.44566701127019387,4,True,0.0,0.4555646421715912,4,True,0.0
10,1,0.4210921324760535,2,False,0.0034732888748884192,0.4457068039284546,5,True,0.0,0.4555646421715912,4,True,0.0
11,1,0.4210921324760535,2,False,0.0034732888748884192,0.4457068039284546,5,True,0.0,0.45570715677984425,5,True,0.0
12,1,0.4210921324760535,2,False,0.0034732888748884192,0.44437595872393487,6,True,0.0,0.45570715677984425,5,True,0.0
13,1,0.4210921324760535,2,False,0.0034732888748884192,0.44437595872393487,6,True,0.0,0.4545393304279495,6,True,0.0
14,1,0.4210921324760535,2,False,0.0034732888748884192,0.4465926403817356,7,True,0.0,0.4545393304279495,6,True,0.0
15,1,0.4210921324760535,2,False,0.0034732888748884192,0.4465926403817356,7,True,0.0,0.45467231878182635,7,True,0.0
16,1,0.4210921324760535,2,False,0.0034732888748884192,0.44620080962814956,8,True,0.0,0.45467231878182635,7,True,0.0
17,1,0.4210921324760535,2,False,0.0034732888748884192,0.44620080962814956,8,True,0.0,0.4539332204903306,8,True,0.0
18,1,0.4210921324760535,2,False,0.0034732888748884192,0.44671913675000025,9,True,0.0,0.4539332204903306,8,True,0.0
19,1,0.4210921324760535,2,False,0.0034732888748884192,0.44671913675000025,9,True,0.0,0.45427495119079275,9,True,0.0
20,1,0.4210921324760535,2,False,0.0034732888748884192,0.4472383101856973,10,True,0.0,0.45427495119079275,9,True,0.0
21,1,0.4210921324760535,2,False,0.0034732888748884192,0.4472383101856973,10,True,0.0,0.45317976343813304,10,True,0.0
22,1,0.4210921324760535,2,False,0.0034732888748884192,0.44710850591024925,11,True,0.0,0.45317976343813304,10,True,0.0
23,1,0.4210921324760535,2,False,0.0034732888748884192,0.44710850591024925,11,True,0.0,0.45287710083483146,11,True,0.0
